Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
OF,Bryce Harper 1B | PHI,52,"DH,OF",309.0,301.0
SS,Trevor Story SS | BOS ,32,"DH,SS",214.0,137.0
SP,Adam Wainwright SP | ,17,SP,374.0,352.0
3B,Rafael Devers 1B | SF ,44,"3B,DH",383.0,375.0
1B,Paul Goldschmidt 1B | NYY,23,"1B,DH",507.0,505.0
2B,"Jose Altuve 2B,OF | HOU",26,"2B,DH",465.0,432.0
SP,Max Fried SP | NYY ,24,SP,544.0,518.0
OF,Cody Bellinger OF | NYY,21,"DH,OF",257.0,216.0
SP,Stephen Strasburg SP | ,7,SP,-9.0,0.0
RP,Ranger Suarez SP | BOS,4,"RP,SP",322.0,107.0
RP,Ryan Pressly RP | CHC,7,RP,294.0,149.0
SP,Shane Baz SP | BAL,3,SP,49.0,22.0
C,Yadier Molina C | ,2,"C,DH",89.0,34.0
RES,Jordan Romano RP | LAA ,5,RP,341.0,342.0
DH,J.D. Martinez DH | NYM,13,"DH,OF",289.0,277.0
RES,Kenley Jansen RP | DET,8,RP,363.0,194.0
SP,Alex Cobb SP | DET ,4,SP,319.0,147.0
RES,Christian Vazquez C | HOU ,1,"C,DH",191.0,0.0
RES,Joshua Lowe OF | LAA ,2,"DH,OF",58.0,0.0
RES,"Jonathan India 2B,3B,OF | KC ",4,"2B,DH",171.0,0.0
RES,Trent Grisham OF | NYY ,2,"DH,OF",195.0,0.0
RES,Merrill Kelly SP | ARI ,1,SP,493.0,454.0
RES,Chris Flexen RP | CHC,1,SP,259.0,51.0
RES,Eduardo Escobar 3B | TOR,1,"1B,2B,3B,DH",226.0,7.0
RES,Jesus Sanchez OF | TOR,1,"DH,OF",138.0,2.0
RES,Dylan Carlson OF | CHC ,1,"DH,OF",229.0,70.0
